Id,Russian
title,Сервис Локолизации
text,"Это пакет предназначен для отображения локализации текстов в ваших приложениях. Простой интерфейс. Локализация из файла .CSV формата. Работает с несколькими возможными видами вывода текста в Unity3d ( MeshText, UIText, TextMesh Pro), так же есть возможность получить текстовое значение из кода."
autors,Sun Cube
localization1,Английский
localization2,Русский
localization3,Французский
